geoName,economy,abortion,immigration,Race,health care
Alabama,9,12,7,55,17
Alaska,14,8,8,57,13
Arizona,11,10,12,48,19
Arkansas,8,12,8,59,13
California,12,9,15,51,13
Colorado,8,8,9,58,17
Connecticut,8,8,10,56,18
Delaware,10,8,9,55,18
District of Columbia,12,12,18,44,14
Florida,11,11,13,46,19
Georgia,10,12,11,54,13
Hawaii,10,10,12,52,16
Idaho,7,8,8,61,16
Illinois,10,9,11,52,18
Indiana,10,9,7,57,17
Iowa,7,7,7,62,17
Kansas,8,9,11,53,19
Kentucky,8,11,7,57,17
Louisiana,11,14,8,49,18
Maine,10,7,6,58,19
Maryland,10,11,14,48,17
Massachusetts,11,7,12,53,17
Michigan,10,11,7,53,19
Minnesota,10,8,8,50,24
Mississippi,8,14,7,54,17
Missouri,8,9,7,55,21
Montana,9,11,4,60,16
Nebraska,8,6,8,54,24
Nevada,7,10,14,56,13
New Hampshire,11,6,8,58,17
New Jersey,11,12,17,46,14
New Mexico,9,11,7,52,21
New York,10,10,16,48,16
North Carolina,8,10,7,56,19
North Dakota,19,7,6,53,15
Ohio,8,10,6,56,20
Oklahoma,9,12,8,56,15
Oregon,11,8,12,51,18
Pennsylvania,9,9,9,56,17
Rhode Island,8,9,13,57,13
South Carolina,9,11,7,55,18
South Dakota,4,12,8,62,14
Tennessee,10,11,7,54,18
Texas,10,13,15,46,16
Utah,10,6,10,57,17
Vermont,10,5,5,68,12
Virginia,13,9,13,50,15
Washington,14,8,11,50,17
West Virginia,8,8,4,58,22
Wisconsin,7,7,7,50,29
Wyoming,11,4,6,66,13
