geoName,economy,abortion,immigration,Race,health care
Alabama,12,12,7,54,15
Alaska,11,8,7,59,15
Arizona,11,10,11,50,18
Arkansas,12,11,7,57,13
California,14,10,14,50,12
Colorado,13,9,10,52,16
Connecticut,13,11,11,47,18
Delaware,11,13,11,51,14
District of Columbia,10,13,16,46,15
Florida,11,11,11,49,18
Georgia,15,11,9,51,14
Hawaii,12,11,10,53,14
Idaho,12,11,9,52,16
Illinois,11,11,12,48,18
Indiana,13,14,8,49,16
Iowa,14,9,9,50,18
Kansas,11,11,9,53,16
Kentucky,11,13,8,52,16
Louisiana,12,13,7,53,15
Maine,13,11,8,49,19
Maryland,13,12,12,46,17
Massachusetts,12,10,11,47,20
Michigan,13,12,8,49,18
Minnesota,13,9,9,46,23
Mississippi,15,15,6,50,14
Missouri,11,12,8,49,20
Montana,11,8,6,58,17
Nebraska,11,11,9,49,20
Nevada,10,10,11,56,13
New Hampshire,14,11,8,52,15
New Jersey,14,12,14,44,16
New Mexico,10,12,11,48,19
New York,12,12,16,44,16
North Carolina,11,10,8,54,17
North Dakota,21,12,10,45,12
Ohio,11,11,7,54,17
Oklahoma,12,13,8,50,17
Oregon,11,9,12,51,17
Pennsylvania,12,12,9,51,16
Rhode Island,13,13,11,48,15
South Carolina,13,11,8,53,15
South Dakota,16,10,6,49,19
Tennessee,11,12,8,53,16
Texas,12,11,12,50,15
Utah,11,8,9,58,14
Vermont,12,9,11,54,14
Virginia,13,11,11,49,16
Washington,12,9,12,51,16
West Virginia,9,14,6,55,16
Wisconsin,11,9,8,46,26
Wyoming,16,11,8,49,16
