geoName,economy,abortion,immigration,Race,health care
Alabama,10,8,6,63,13
Alaska,9,7,6,67,11
Arizona,10,8,12,52,18
Arkansas,11,8,9,59,13
California,11,7,14,55,13
Colorado,8,5,9,63,15
Connecticut,7,6,10,59,18
Delaware,8,9,9,61,13
District of Columbia,9,7,17,54,13
Florida,10,8,12,52,18
Georgia,13,9,9,56,13
Hawaii,10,5,9,62,14
Idaho,10,5,7,61,17
Illinois,8,8,10,57,17
Indiana,13,6,7,60,14
Iowa,7,6,7,63,17
Kansas,9,7,8,60,16
Kentucky,9,7,5,64,15
Louisiana,8,9,7,61,15
Maine,7,6,5,61,21
Maryland,9,8,12,55,16
Massachusetts,7,5,9,63,16
Michigan,6,8,7,61,18
Minnesota,7,6,7,58,22
Mississippi,10,13,8,55,14
Missouri,10,6,6,61,17
Montana,7,8,5,67,13
Nebraska,9,8,7,59,17
Nevada,9,9,12,59,11
New Hampshire,6,4,8,67,15
New Jersey,8,9,15,55,13
New Mexico,9,8,11,53,19
New York,8,7,13,57,15
North Carolina,8,7,6,63,16
North Dakota,18,5,10,54,13
Ohio,8,7,7,61,17
Oklahoma,10,9,9,54,18
Oregon,9,6,9,58,18
Pennsylvania,8,8,7,61,16
Rhode Island,8,5,9,62,16
South Carolina,10,8,5,64,13
South Dakota,5,7,9,64,15
Tennessee,9,7,5,66,13
Texas,9,9,12,54,16
Utah,8,5,7,64,16
Vermont,3,3,5,77,12
Virginia,9,8,11,57,15
Washington,8,7,10,61,14
West Virginia,6,5,5,66,18
Wisconsin,6,5,6,59,24
Wyoming,8,6,9,66,11
