geoName,economy,abortion,immigration,Race,health care
Alabama,8,11,4,62,15
Alaska,7,4,7,70,12
Arizona,9,9,10,54,18
Arkansas,9,9,7,63,12
California,11,9,12,55,13
Colorado,8,7,7,60,18
Connecticut,11,7,9,56,17
Delaware,10,7,7,58,18
District of Columbia,8,13,17,48,14
Florida,9,9,11,54,17
Georgia,8,9,8,64,11
Hawaii,12,10,8,58,12
Idaho,8,6,8,61,17
Illinois,7,9,9,59,16
Indiana,7,8,6,66,13
Iowa,6,7,4,65,18
Kansas,7,10,10,54,19
Kentucky,7,8,5,66,14
Louisiana,8,13,5,59,15
Maine,7,5,5,62,21
Maryland,9,11,10,54,16
Massachusetts,8,7,10,59,16
Michigan,8,9,5,61,17
Minnesota,8,8,7,56,21
Mississippi,6,11,5,63,15
Missouri,7,11,5,57,20
Montana,8,6,5,68,13
Nebraska,8,8,7,58,19
Nevada,8,10,9,57,16
New Hampshire,6,5,6,68,15
New Jersey,8,9,13,56,14
New Mexico,9,9,5,53,24
New York,9,9,12,54,16
North Carolina,7,10,6,60,17
North Dakota,16,5,3,67,9
Ohio,7,9,5,61,18
Oklahoma,9,11,7,56,17
Oregon,10,7,7,60,16
Pennsylvania,8,9,6,63,14
Rhode Island,11,11,13,51,14
South Carolina,8,9,5,62,16
South Dakota,9,9,5,65,12
Tennessee,8,10,4,63,15
Texas,9,12,11,53,15
Utah,10,9,7,59,15
Vermont,7,7,2,72,12
Virginia,8,9,10,58,15
Washington,9,7,9,60,15
West Virginia,8,9,2,63,18
Wisconsin,6,6,5,56,27
Wyoming,7,10,7,61,15
