geoName,economy,abortion,immigration,Race,health care
Alabama,11,19,6,51,13
Alaska,8,17,11,49,15
Arizona,11,14,9,44,22
Arkansas,12,16,9,52,11
California,13,12,14,47,14
Colorado,10,13,12,47,18
Connecticut,14,12,12,44,18
Delaware,15,13,6,50,16
District of Columbia,12,14,15,45,14
Florida,13,15,12,43,17
Georgia,15,16,7,49,13
Hawaii,15,11,11,50,13
Idaho,13,11,10,49,17
Illinois,12,15,11,44,18
Indiana,13,16,7,50,14
Iowa,12,15,10,45,18
Kansas,15,16,9,43,17
Kentucky,10,18,6,51,15
Louisiana,11,19,6,50,14
Maine,11,11,11,46,21
Maryland,12,13,11,47,17
Massachusetts,13,11,13,44,19
Michigan,12,19,10,42,17
Minnesota,12,15,9,40,24
Mississippi,11,19,6,48,16
Missouri,11,16,7,46,20
Montana,11,17,7,50,15
Nebraska,11,17,11,45,16
Nevada,12,12,10,53,13
New Hampshire,12,12,8,51,17
New Jersey,15,14,13,43,15
New Mexico,15,14,11,40,20
New York,13,13,14,42,18
North Carolina,11,14,6,53,16
North Dakota,24,17,8,36,15
Ohio,12,18,8,45,17
Oklahoma,11,18,10,45,16
Oregon,12,11,11,47,19
Pennsylvania,12,16,8,49,15
Rhode Island,18,11,11,47,13
South Carolina,10,16,8,50,16
South Dakota,15,17,9,43,16
Tennessee,11,20,6,47,16
Texas,14,15,12,44,15
Utah,11,14,10,48,17
Vermont,14,13,8,50,15
Virginia,12,14,12,47,15
Washington,13,14,10,47,16
West Virginia,10,20,4,49,17
Wisconsin,11,13,8,42,26
Wyoming,12,19,7,45,17
