geoName,economy,abortion,immigration,Race,health care
Alabama,13,10,7,55,15
Alaska,15,6,9,56,14
Arizona,11,9,11,51,18
Arkansas,15,9,9,54,13
California,15,8,14,50,13
Colorado,13,8,10,52,17
Connecticut,15,9,12,45,19
Delaware,16,10,9,51,14
District of Columbia,11,13,18,43,15
Florida,12,9,11,50,18
Georgia,15,9,9,53,14
Hawaii,17,8,10,48,17
Idaho,14,8,9,51,18
Illinois,12,9,12,48,19
Indiana,15,9,7,51,18
Iowa,13,9,9,50,19
Kansas,13,9,10,51,17
Kentucky,14,12,8,49,17
Louisiana,12,12,8,51,17
Maine,13,9,9,47,22
Maryland,14,10,12,46,18
Massachusetts,12,9,13,48,18
Michigan,14,10,8,49,19
Minnesota,12,7,10,48,23
Mississippi,14,12,8,48,18
Missouri,13,10,8,50,19
Montana,11,8,8,53,20
Nebraska,14,9,9,49,19
Nevada,12,9,13,52,14
New Hampshire,14,11,8,48,19
New Jersey,14,10,15,46,15
New Mexico,12,9,9,49,21
New York,13,10,16,43,18
North Carolina,12,9,9,51,19
North Dakota,18,8,7,50,17
Ohio,13,10,7,52,18
Oklahoma,15,11,9,47,18
Oregon,12,6,12,52,18
Pennsylvania,14,10,8,50,18
Rhode Island,16,10,9,45,20
South Carolina,12,11,9,52,16
South Dakota,17,9,10,49,15
Tennessee,12,11,8,52,17
Texas,15,10,13,47,15
Utah,13,6,10,55,16
Vermont,12,5,10,52,21
Virginia,13,10,11,50,16
Washington,12,8,12,49,19
West Virginia,10,9,7,53,21
Wisconsin,11,7,9,46,27
Wyoming,13,6,9,47,25
