geoName,economy,abortion,immigration,Race,health care
Alabama,16,12,9,46,17
Alaska,16,6,11,49,18
Arizona,12,9,12,45,22
Arkansas,15,11,9,47,18
California,15,9,17,44,15
Colorado,13,7,12,45,23
Connecticut,15,9,14,41,21
Delaware,12,11,13,44,20
District of Columbia,12,13,21,35,19
Florida,14,9,13,42,22
Georgia,17,12,11,43,17
Hawaii,16,9,15,42,18
Idaho,15,6,12,47,20
Illinois,13,10,16,38,23
Indiana,19,9,10,42,20
Iowa,16,12,12,40,20
Kansas,13,11,11,46,19
Kentucky,13,11,9,48,19
Louisiana,14,14,10,43,19
Maine,13,7,12,42,26
Maryland,13,10,15,40,22
Massachusetts,14,9,15,41,21
Michigan,14,11,10,43,22
Minnesota,15,7,11,41,26
Mississippi,14,15,8,44,19
Missouri,14,11,8,43,24
Montana,13,7,6,47,27
Nebraska,12,9,13,44,22
Nevada,15,10,16,43,16
New Hampshire,13,7,10,48,22
New Jersey,14,10,19,39,18
New Mexico,17,8,10,41,24
New York,14,10,21,36,19
North Carolina,13,10,11,44,22
North Dakota,27,9,9,41,14
Ohio,13,11,10,43,23
Oklahoma,16,10,10,44,20
Oregon,14,9,14,42,21
Pennsylvania,13,11,11,44,21
Rhode Island,15,10,10,40,25
South Carolina,17,12,11,41,19
South Dakota,16,10,10,40,24
Tennessee,14,12,10,42,22
Texas,17,10,15,40,18
Utah,12,8,14,45,21
Vermont,14,8,7,50,21
Virginia,14,10,15,41,20
Washington,14,8,14,42,22
West Virginia,10,11,6,48,25
Wisconsin,13,7,9,39,32
Wyoming,15,6,10,50,19
