geoName,economy,abortion,immigration,Race,health care
Alabama,12,11,5,59,13
Alaska,15,9,8,54,14
Arizona,13,9,11,49,18
Arkansas,14,12,7,53,14
California,14,10,14,49,13
Colorado,13,8,9,53,17
Connecticut,13,9,12,50,16
Delaware,14,13,9,48,16
District of Columbia,11,11,16,49,13
Florida,13,10,13,46,18
Georgia,14,12,9,52,13
Hawaii,16,11,10,50,13
Idaho,13,8,8,53,18
Illinois,12,10,12,50,16
Indiana,13,13,8,51,15
Iowa,13,10,9,52,16
Kansas,14,10,10,51,15
Kentucky,11,9,7,60,13
Louisiana,14,12,8,51,15
Maine,10,8,6,57,19
Maryland,12,10,11,50,17
Massachusetts,13,9,12,49,17
Michigan,11,12,8,50,19
Minnesota,14,8,8,48,22
Mississippi,14,14,7,51,14
Missouri,12,9,7,52,20
Montana,12,9,6,55,18
Nebraska,11,10,8,53,18
Nevada,14,8,12,52,14
New Hampshire,12,8,8,54,18
New Jersey,12,11,16,46,15
New Mexico,14,10,9,47,20
New York,13,10,16,45,16
North Carolina,13,9,7,56,15
North Dakota,23,10,7,51,9
Ohio,13,9,8,52,18
Oklahoma,13,12,8,52,15
Oregon,12,8,10,48,22
Pennsylvania,13,11,8,52,16
Rhode Island,11,12,11,50,16
South Carolina,12,10,7,58,13
South Dakota,17,11,5,50,17
Tennessee,11,10,6,58,15
Texas,15,10,13,48,14
Utah,13,7,10,54,16
Vermont,14,7,6,56,17
Virginia,14,9,9,54,14
Washington,12,8,11,54,15
West Virginia,13,10,5,58,14
Wisconsin,11,8,8,50,23
Wyoming,19,7,9,54,11
