geoName,economy,abortion,immigration,Race,health care
Alabama,7,41,3,40,9
Alaska,8,30,8,41,13
Arizona,10,28,9,39,14
Arkansas,12,27,6,46,9
California,13,26,12,39,10
Colorado,10,25,9,47,9
Connecticut,11,26,10,42,11
Delaware,11,21,7,50,11
District of Columbia,12,26,20,29,13
Florida,10,24,11,41,14
Georgia,11,32,7,41,9
Hawaii,16,24,10,41,9
Idaho,10,25,8,46,11
Illinois,9,27,9,44,11
Indiana,10,20,4,56,10
Iowa,10,24,7,48,11
Kansas,9,25,7,46,13
Kentucky,6,20,3,63,8
Louisiana,9,32,6,41,12
Maine,10,25,6,46,13
Maryland,10,27,7,44,12
Massachusetts,9,27,10,41,13
Michigan,9,30,5,43,13
Minnesota,11,26,7,41,15
Mississippi,8,28,3,49,12
Missouri,8,35,5,39,13
Montana,8,24,5,52,11
Nebraska,12,24,7,46,11
Nevada,10,27,11,42,10
New Hampshire,8,26,5,50,11
New Jersey,12,27,11,40,10
New Mexico,11,24,8,44,13
New York,10,26,12,39,13
North Carolina,9,22,6,51,12
North Dakota,16,26,6,42,10
Ohio,8,26,5,49,12
Oklahoma,10,24,6,46,14
Oregon,11,32,7,38,12
Pennsylvania,9,26,6,48,11
Rhode Island,9,26,9,43,13
South Carolina,10,23,5,52,10
South Dakota,12,19,2,56,11
Tennessee,8,26,5,48,13
Texas,12,25,11,40,12
Utah,11,25,6,47,11
Vermont,8,29,5,49,9
Virginia,12,24,9,45,10
Washington,10,30,10,39,11
West Virginia,7,25,3,53,12
Wisconsin,10,23,5,43,19
Wyoming,10,22,8,52,8
