geoName,economy,abortion,immigration,Race,health care
Alabama,13,11,5,56,15
Alaska,12,11,3,59,15
Arizona,12,9,8,53,18
Arkansas,12,9,8,56,15
California,15,7,12,51,15
Colorado,13,7,9,53,18
Connecticut,14,6,10,54,16
Delaware,12,6,10,52,20
District of Columbia,16,8,20,34,22
Florida,11,8,11,52,18
Georgia,17,9,8,53,13
Hawaii,20,6,7,50,17
Idaho,14,5,7,58,16
Illinois,14,8,10,48,20
Indiana,11,7,7,58,17
Iowa,14,8,9,53,16
Kansas,15,8,8,52,17
Kentucky,6,8,3,73,10
Louisiana,10,8,6,65,11
Maine,13,7,7,51,22
Maryland,12,9,12,49,18
Massachusetts,12,6,12,50,20
Michigan,12,10,7,51,20
Minnesota,14,8,9,47,22
Mississippi,9,8,4,66,13
Missouri,13,8,6,54,19
Montana,13,8,7,51,21
Nebraska,15,9,6,53,17
Nevada,12,9,11,53,15
New Hampshire,12,8,7,54,19
New Jersey,16,9,12,47,16
New Mexico,11,10,8,56,15
New York,14,8,13,47,18
North Carolina,12,7,7,56,18
North Dakota,30,9,5,44,12
Ohio,10,8,7,56,19
Oklahoma,12,9,7,55,17
Oregon,12,7,9,54,18
Pennsylvania,13,8,7,55,17
Rhode Island,13,8,11,53,15
South Carolina,15,9,7,54,15
South Dakota,14,9,9,48,20
Tennessee,12,8,7,57,16
Texas,15,9,12,49,15
Utah,12,7,9,56,16
Vermont,12,4,10,52,22
Virginia,14,9,10,52,15
Washington,13,7,9,53,18
West Virginia,10,7,3,62,18
Wisconsin,12,6,7,47,28
Wyoming,14,6,5,64,11
