geoName,economy,abortion,immigration,Race,health care
Alabama,14,12,6,57,11
Alaska,12,10,9,49,20
Arizona,14,10,12,46,18
Arkansas,13,9,8,56,14
California,16,10,15,46,13
Colorado,14,10,12,48,16
Connecticut,14,9,11,47,19
Delaware,16,10,6,52,16
District of Columbia,16,10,22,36,16
Florida,14,11,14,44,17
Georgia,16,14,9,48,13
Hawaii,18,12,11,40,19
Idaho,14,10,8,53,15
Illinois,13,11,11,50,15
Indiana,14,11,7,52,16
Iowa,15,9,10,49,17
Kansas,12,13,12,44,19
Kentucky,10,10,5,60,15
Louisiana,15,13,7,49,16
Maine,12,7,9,53,19
Maryland,12,11,12,47,18
Massachusetts,13,8,13,46,20
Michigan,13,14,8,45,20
Minnesota,14,10,11,44,21
Mississippi,16,14,6,49,15
Missouri,12,12,7,50,19
Montana,9,9,8,57,17
Nebraska,14,14,8,48,16
Nevada,12,12,13,49,14
New Hampshire,12,11,11,46,20
New Jersey,15,10,16,44,15
New Mexico,13,10,11,51,15
New York,13,10,15,42,20
North Carolina,13,10,8,51,18
North Dakota,27,16,4,41,12
Ohio,11,15,7,48,19
Oklahoma,11,14,10,50,15
Oregon,16,9,10,49,16
Pennsylvania,13,11,10,50,16
Rhode Island,16,10,13,42,19
South Carolina,15,11,7,53,14
South Dakota,13,12,4,54,17
Tennessee,12,11,7,57,13
Texas,15,13,14,43,15
Utah,13,9,10,52,16
Vermont,10,7,9,58,16
Virginia,15,10,11,51,13
Washington,13,9,12,49,17
West Virginia,11,14,5,52,18
Wisconsin,10,9,7,50,24
Wyoming,17,11,8,56,8
