geoName,economy,abortion,immigration,Race,health care
Alabama,9,17,7,56,11
Alaska,10,12,5,62,11
Arizona,11,13,12,46,18
Arkansas,9,12,8,53,18
California,13,11,18,45,13
Colorado,8,9,11,57,15
Connecticut,10,9,13,51,17
Delaware,9,9,9,56,17
District of Columbia,13,12,24,33,18
Florida,10,12,15,45,18
Georgia,10,16,10,52,12
Hawaii,17,12,14,47,10
Idaho,11,9,8,57,15
Illinois,9,13,14,50,14
Indiana,10,11,8,55,16
Iowa,7,8,6,62,17
Kansas,10,10,9,54,17
Kentucky,7,11,6,61,15
Louisiana,6,18,8,49,19
Maine,7,7,11,54,21
Maryland,10,12,13,48,17
Massachusetts,10,10,12,51,17
Michigan,9,13,8,54,16
Minnesota,7,11,10,50,22
Mississippi,8,16,4,55,17
Missouri,8,14,6,53,19
Montana,11,7,6,62,14
Nebraska,8,12,7,58,15
Nevada,10,13,13,50,14
New Hampshire,9,9,8,58,16
New Jersey,11,12,16,47,14
New Mexico,8,11,12,51,18
New York,10,11,16,46,17
North Carolina,9,12,8,55,16
North Dakota,21,10,4,52,13
Ohio,7,12,6,56,19
Oklahoma,9,14,10,52,15
Oregon,12,12,10,51,15
Pennsylvania,9,11,8,55,17
Rhode Island,10,13,9,50,18
South Carolina,8,13,7,57,15
South Dakota,4,11,11,59,15
Tennessee,9,13,8,55,15
Texas,11,13,16,46,14
Utah,9,11,11,55,14
Vermont,8,12,5,57,18
Virginia,11,12,11,51,15
Washington,12,10,13,51,14
West Virginia,6,11,3,61,19
Wisconsin,8,9,6,53,24
Wyoming,9,8,12,56,15
