geoName,economy,abortion,immigration,Race,health care
Alabama,15,11,7,53,14
Alaska,12,10,9,52,17
Arizona,15,8,10,46,21
Arkansas,15,9,9,51,16
California,19,8,14,44,15
Colorado,14,7,11,50,18
Connecticut,15,6,11,49,19
Delaware,13,8,10,50,19
District of Columbia,17,9,25,30,19
Florida,15,8,14,43,20
Georgia,18,11,10,47,14
Hawaii,19,9,7,49,16
Idaho,15,6,8,51,20
Illinois,15,9,11,47,18
Indiana,18,8,7,51,16
Iowa,15,8,7,52,18
Kansas,15,7,11,48,19
Kentucky,13,7,7,56,17
Louisiana,15,11,11,47,16
Maine,14,8,7,49,22
Maryland,12,8,14,48,18
Massachusetts,16,6,13,45,20
Michigan,14,10,7,49,20
Minnesota,14,7,8,50,21
Mississippi,15,12,7,48,18
Missouri,15,9,8,48,20
Montana,19,9,4,51,17
Nebraska,14,9,8,52,17
Nevada,11,7,13,54,15
New Hampshire,11,5,9,55,20
New Jersey,16,8,15,46,15
New Mexico,11,10,13,49,17
New York,14,8,14,45,19
North Carolina,13,7,9,54,17
North Dakota,27,7,7,46,13
Ohio,13,9,6,51,21
Oklahoma,13,11,9,50,17
Oregon,13,7,9,52,19
Pennsylvania,13,8,7,56,16
Rhode Island,15,9,13,48,15
South Carolina,15,8,6,54,17
South Dakota,17,9,7,47,20
Tennessee,15,9,8,52,16
Texas,19,9,14,41,17
Utah,14,8,11,52,15
Vermont,9,6,7,61,17
Virginia,18,7,10,51,14
Washington,16,7,12,49,16
West Virginia,11,9,6,55,19
Wisconsin,11,6,7,49,27
Wyoming,16,6,6,58,14
